shop	name	@version	@timestamp	@lon	@lat
supermarket	Conad			13.6364343	42.8370527
butcher	Capretti			13.6334194	42.8207342
hairdresser	Salone Luciano			13.6318243	42.8208865
bakery	Forno Fanini			13.6984273	42.8328162
supermarket				13.6818196	42.8320530
supermarket	sabelli			13.6591067	42.8439155
florist	Flower Shop			13.7162201	42.8255708
jewelry	L'Angolo D'Oro			13.7160190	42.8255502
supermarket	Tigre			13.7146525	42.8266181
supermarket	Dico			13.7082688	42.8241447
supermarket	Lidl			13.7106828	42.8210599
hardware	Rema Tarlazzi			13.6625331	42.8486810
beverages	"Ingrosso acqua bibite Castelli, ex Paoletti"			13.6369878	42.8420548
beauty				13.6375540	42.8426859
tyres	La Picena pneumatici			13.6568543	42.8466805
tobacco	Tabaccheria Le.Ma			13.6680328	42.7723969
hairdresser	Parrucchiera Silvia			13.6678612	42.7723599
supermarket	Alimentari di Faragalli Marina			13.6687148	42.7724702
bakery	Panificio F.lli Tribotti			13.6693151	42.7726018
supermarket	Coal E.L.F.E. Market			13.6694020	42.7726393
funeral_directors	Onoranze funebri Amiconi & Di Luigi			13.6785163	42.7694302
clothes	Intrasport s.a.s. di Licio D'Alessio			13.7237644	42.7964924
bakery	Panificio F.lli Tribotti			13.6762659	42.7720637
supermarket	Eurospin			13.6301440	42.8450100
ticket				13.6687629	42.7731864
tobacco				13.6436163	42.7948726
